Alaska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Date","Value","Rank","1925-2000 Mean","Anomaly (1925-2000 base period)"
AK-013,"Aleutians East Borough",193210,40.7,78,38.3,2.4
AK-013,"Aleutians East Borough",193211,26.4,7,31.7,-5.3
AK-013,"Aleutians East Borough",193212,30.9,81,26.6,4.3
AK-013,"Aleutians East Borough",193301,20.0,17,25.2,-5.2
AK-013,"Aleutians East Borough",193302,26.2,43,25.3,0.9
AK-013,"Aleutians East Borough",193303,25.2,31,27.3,-2.1
AK-013,"Aleutians East Borough",193304,33.4,59,32.3,1.1
AK-013,"Aleutians East Borough",193305,38.6,38,39,-0.4
AK-013,"Aleutians East Borough",193306,44.7,25,45.5,-0.8
AK-013,"Aleutians East Borough",193307,49.8,32,50.2,-0.4
AK-013,"Aleutians East Borough",193308,49.3,8,51.4,-2.1
AK-013,"Aleutians East Borough",193309,45.3,16,46.9,-1.6
AK-013,"Aleutians East Borough",193310,36.2,10,38.3,-2.1
AK-013,"Aleutians East Borough",193311,31.7,40,31.7,0.0
AK-013,"Aleutians East Borough",193312,21.8,6,26.6,-4.8
AK-013,"Aleutians East Borough",193401,13.9,2,25.2,-11.3
AK-013,"Aleutians East Borough",193402,31.4,84,25.3,6.1
AK-013,"Aleutians East Borough",193403,29.9,63,27.3,2.6
AK-013,"Aleutians East Borough",193404,34.5,70,32.3,2.2
AK-013,"Aleutians East Borough",193405,38.8,42,39,-0.2
AK-013,"Aleutians East Borough",193406,45.0,35,45.5,-0.5
AK-013,"Aleutians East Borough",193407,50.0,42,50.2,-0.2
AK-013,"Aleutians East Borough",193408,51.6,44,51.4,0.2
AK-013,"Aleutians East Borough",193409,47.2,54,46.9,0.3
AK-013,"Aleutians East Borough",193410,38.7,54,38.3,0.4
AK-013,"Aleutians East Borough",193411,31.4,38,31.7,-0.3
AK-013,"Aleutians East Borough",193412,29.8,75,26.6,3.2
AK-013,"Aleutians East Borough",193501,26.6,54,25.2,1.4
AK-013,"Aleutians East Borough",193502,28.3,62,25.3,3.0
AK-013,"Aleutians East Borough",193503,31.0,72,27.3,3.7
AK-013,"Aleutians East Borough",193504,34.2,67,32.3,1.9
AK-013,"Aleutians East Borough",193505,39.8,60,39,0.8
AK-013,"Aleutians East Borough",193506,46.9,65,45.5,1.4
AK-013,"Aleutians East Borough",193507,51.1,61,50.2,0.9
AK-013,"Aleutians East Borough",193508,52.1,59,51.4,0.7
AK-013,"Aleutians East Borough",193509,48.0,62,46.9,1.1
AK-013,"Aleutians East Borough",193510,40.3,74,38.3,2.0
AK-013,"Aleutians East Borough",193511,35.8,85,31.7,4.1
AK-013,"Aleutians East Borough",193512,26.7,39,26.6,0.1
AK-013,"Aleutians East Borough",193601,26.6,54,25.2,1.4
AK-013,"Aleutians East Borough",193602,30.0,72,25.3,4.7
AK-013,"Aleutians East Borough",193603,26.6,40,27.3,-0.7
AK-013,"Aleutians East Borough",193604,34.2,67,32.3,1.9
AK-013,"Aleutians East Borough",193605,39.9,61,39,0.9
AK-013,"Aleutians East Borough",193606,49.0,89,45.5,3.5
AK-013,"Aleutians East Borough",193607,51.2,67,50.2,1.0
AK-013,"Aleutians East Borough",193608,53.5,84,51.4,2.1
AK-013,"Aleutians East Borough",193609,48.7,77,46.9,1.8
AK-013,"Aleutians East Borough",193610,42.6,90,38.3,4.3
AK-013,"Aleutians East Borough",193611,32.6,50,31.7,0.9
AK-013,"Aleutians East Borough",193612,27.1,46,26.6,0.5
AK-013,"Aleutians East Borough",193701,38.2,96,25.2,13.0
AK-013,"Aleutians East Borough",193702,23.6,28,25.3,-1.7
AK-013,"Aleutians East Borough",193703,26.5,38,27.3,-0.8
AK-013,"Aleutians East Borough",193704,31.7,36,32.3,-0.6
AK-013,"Aleutians East Borough",193705,38.3,33,39,-0.7
AK-013,"Aleutians East Borough",193706,45.7,47,45.5,0.2
AK-013,"Aleutians East Borough",193707,49.9,36,50.2,-0.3
AK-013,"Aleutians East Borough",193708,53.0,75,51.4,1.6
AK-013,"Aleutians East Borough",193709,48.6,75,46.9,1.7
AK-013,"Aleutians East Borough",193710,41.9,87,38.3,3.6
AK-013,"Aleutians East Borough",193711,34.2,68,31.7,2.5
AK-013,"Aleutians East Borough",193712,27.1,46,26.6,0.5
AK-013,"Aleutians East Borough",193801,22.2,23,25.2,-3.0
AK-013,"Aleutians East Borough",193802,22.3,22,25.3,-3.0
AK-013,"Aleutians East Borough",193803,26.3,37,27.3,-1.0
AK-013,"Aleutians East Borough",193804,36.7,86,32.3,4.4
AK-013,"Aleutians East Borough",193805,39.1,44,39,0.1
AK-013,"Aleutians East Borough",193806,44.2,18,45.5,-1.3
AK-013,"Aleutians East Borough",193807,49.3,20,50.2,-0.9
AK-013,"Aleutians East Borough",193808,52.1,59,51.4,0.7
AK-013,"Aleutians East Borough",193809,45.9,26,46.9,-1.0
AK-013,"Aleutians East Borough",193810,40.3,74,38.3,2.0
AK-013,"Aleutians East Borough",193811,34.3,70,31.7,2.6
AK-013,"Aleutians East Borough",193812,29.4,69,26.6,2.8
AK-013,"Aleutians East Borough",193901,20.3,18,25.2,-4.9
AK-013,"Aleutians East Borough",193902,30.4,77,25.3,5.1
AK-013,"Aleutians East Borough",193903,24.0,18,27.3,-3.3
AK-013,"Aleutians East Borough",193904,31.8,37,32.3,-0.5
AK-013,"Aleutians East Borough",193905,36.5,8,39,-2.5
AK-013,"Aleutians East Borough",193906,44.9,29,45.5,-0.6
AK-013,"Aleutians East Borough",193907,49.9,36,50.2,-0.3
AK-013,"Aleutians East Borough",193908,49.1,6,51.4,-2.3
AK-013,"Aleutians East Borough",193909,47.0,50,46.9,0.1
AK-013,"Aleutians East Borough",193910,35.0,4,38.3,-3.3
AK-013,"Aleutians East Borough",193911,23.8,3,31.7,-7.9
AK-013,"Aleutians East Borough",193912,22.3,10,26.6,-4.3
AK-013,"Aleutians East Borough",194001,29.9,77,25.2,4.7
AK-013,"Aleutians East Borough",194002,30.1,74,25.3,4.8
AK-013,"Aleutians East Borough",194003,26.2,35,27.3,-1.1
AK-013,"Aleutians East Borough",194004,39.8,96,32.3,7.5
AK-013,"Aleutians East Borough",194005,42.2,84,39,3.2
AK-013,"Aleutians East Borough",194006,47.8,79,45.5,2.3
AK-013,"Aleutians East Borough",194007,50.4,50,50.2,0.2
AK-013,"Aleutians East Borough",194008,50.6,26,51.4,-0.8
AK-013,"Aleutians East Borough",194009,46.6,40,46.9,-0.3
AK-013,"Aleutians East Borough",194010,38.4,45,38.3,0.1
AK-013,"Aleutians East Borough",194011,34.6,75,31.7,2.9
AK-013,"Aleutians East Borough",194012,28.7,59,26.6,2.1
AK-013,"Aleutians East Borough",194101,23.2,33,25.2,-2.0
AK-013,"Aleutians East Borough",194102,31.8,86,25.3,6.5
AK-013,"Aleutians East Borough",194103,28.9,54,27.3,1.6
AK-013,"Aleutians East Borough",194104,35.1,75,32.3,2.8
AK-013,"Aleutians East Borough",194105,39.1,44,39,0.1
AK-013,"Aleutians East Borough",194106,47.9,81,45.5,2.4
AK-013,"Aleutians East Borough",194107,50.2,46,50.2,0.0
AK-013,"Aleutians East Borough",194108,53.9,89,51.4,2.5
AK-013,"Aleutians East Borough",194109,49.8,90,46.9,2.9
AK-013,"Aleutians East Borough",194110,40.2,71,38.3,1.9
AK-013,"Aleutians East Borough",194111,32.3,46,31.7,0.6
AK-013,"Aleutians East Borough",194112,27.1,46,26.6,0.5
AK-013,"Aleutians East Borough",194201,27.0,57,25.2,1.8
AK-013,"Aleutians East Borough",194202,36.0,96,25.3,10.7
AK-013,"Aleutians East Borough",194203,24.4,22,27.3,-2.9
AK-013,"Aleutians East Borough",194204,36.8,88,32.3,4.5
AK-013,"Aleutians East Borough",194205,42.6,88,39,3.6
AK-013,"Aleutians East Borough",194206,46.1,54,45.5,0.6
AK-013,"Aleutians East Borough",194207,49.7,29,50.2,-0.5
AK-013,"Aleutians East Borough",194208,52.0,55,51.4,0.6
AK-013,"Aleutians East Borough",194209,52.1,95,46.9,5.2
AK-013,"Aleutians East Borough",194210,38.2,41,38.3,-0.1
AK-013,"Aleutians East Borough",194211,26.2,6,31.7,-5.5
AK-013,"Aleutians East Borough",194212,7.1,1,26.6,-19.5
AK-013,"Aleutians East Borough",194301,13.8,1,25.2,-11.4
AK-013,"Aleutians East Borough",194302,26.2,43,25.3,0.9
AK-013,"Aleutians East Borough",194303,26.9,42,27.3,-0.4
AK-013,"Aleutians East Borough",194304,30.9,24,32.3,-1.4
AK-013,"Aleutians East Borough",194305,39.0,43,39,0.0
AK-013,"Aleutians East Borough",194306,47.6,74,45.5,2.1
AK-013,"Aleutians East Borough",194307,50.4,50,50.2,0.2
AK-013,"Aleutians East Borough",194308,51.0,35,51.4,-0.4
AK-013,"Aleutians East Borough",194309,45.6,19,46.9,-1.3
AK-013,"Aleutians East Borough",194310,41.3,84,38.3,3.0
AK-013,"Aleutians East Borough",194311,33.6,64,31.7,1.9
AK-013,"Aleutians East Borough",194312,23.9,17,26.6,-2.7
AK-013,"Aleutians East Borough",194401,24.1,39,25.2,-1.1
AK-013,"Aleutians East Borough",194402,33.9,92,25.3,8.6
AK-013,"Aleutians East Borough",194403,25.0,29,27.3,-2.3
AK-013,"Aleutians East Borough",194404,32.9,53,32.3,0.6
AK-013,"Aleutians East Borough",194405,39.6,55,39,0.6
AK-013,"Aleutians East Borough",194406,47.7,76,45.5,2.2
AK-013,"Aleutians East Borough",194407,51.2,67,50.2,1.0
AK-013,"Aleutians East Borough",194408,53.1,78,51.4,1.7
AK-013,"Aleutians East Borough",194409,46.0,28,46.9,-0.9
AK-013,"Aleutians East Borough",194410,37.9,34,38.3,-0.4
AK-013,"Aleutians East Borough",194411,29.0,17,31.7,-2.7
AK-013,"Aleutians East Borough",194412,29.5,70,26.6,2.9
AK-013,"Aleutians East Borough",194501,37.7,95,25.2,12.5
AK-013,"Aleutians East Borough",194502,29.8,71,25.3,4.5
AK-013,"Aleutians East Borough",194503,24.5,24,27.3,-2.8
AK-013,"Aleutians East Borough",194504,32.1,43,32.3,-0.2
AK-013,"Aleutians East Borough",194505,35.8,5,39,-3.2
AK-013,"Aleutians East Borough",194506,46.0,51,45.5,0.5
AK-013,"Aleutians East Borough",194507,50.5,51,50.2,0.3
AK-013,"Aleutians East Borough",194508,51.7,47,51.4,0.3
AK-013,"Aleutians East Borough",194509,46.4,33,46.9,-0.5
AK-013,"Aleutians East Borough",194510,37.4,24,38.3,-0.9
AK-013,"Aleutians East Borough",194511,20.8,1,31.7,-10.9
AK-013,"Aleutians East Borough",194512,22.1,9,26.6,-4.5
AK-013,"Aleutians East Borough",194601,28.2,63,25.2,3.0
AK-013,"Aleutians East Borough",194602,18.1,7,25.3,-7.2
AK-013,"Aleutians East Borough",194603,11.0,1,27.3,-16.3
AK-013,"Aleutians East Borough",194604,30.2,16,32.3,-2.1
AK-013,"Aleutians East Borough",194605,35.5,3,39,-3.5
AK-013,"Aleutians East Borough",194606,43.3,8,45.5,-2.2
AK-013,"Aleutians East Borough",194607,49.0,15,50.2,-1.2
AK-013,"Aleutians East Borough",194608,49.0,4,51.4,-2.4
AK-013,"Aleutians East Borough",194609,45.2,14,46.9,-1.7
AK-013,"Aleutians East Borough",194610,41.6,85,38.3,3.3
AK-013,"Aleutians East Borough",194611,31.2,36,31.7,-0.5
AK-013,"Aleutians East Borough",194612,25.2,28,26.6,-1.4
AK-013,"Aleutians East Borough",194701,18.3,9,25.2,-6.9
AK-013,"Aleutians East Borough",194702,28.5,65,25.3,3.2
AK-013,"Aleutians East Borough",194703,24.2,20,27.3,-3.1
AK-013,"Aleutians East Borough",194704,35.1,75,32.3,2.8
AK-013,"Aleutians East Borough",194705,39.2,50,39,0.2
AK-013,"Aleutians East Borough",194706,44.7,25,45.5,-0.8
AK-013,"Aleutians East Borough",194707,50.1,44,50.2,-0.1
AK-013,"Aleutians East Borough",194708,52.1,59,51.4,0.7
AK-013,"Aleutians East Borough",194709,44.9,8,46.9,-2.0
AK-013,"Aleutians East Borough",194710,38.4,45,38.3,0.1
AK-013,"Aleutians East Borough",194711,36.0,88,31.7,4.3
AK-013,"Aleutians East Borough",194712,25.0,24,26.6,-1.6
AK-013,"Aleutians East Borough",194801,21.3,21,25.2,-3.9
AK-013,"Aleutians East Borough",194802,19.5,10,25.3,-5.8
AK-013,"Aleutians East Borough",194803,26.0,34,27.3,-1.3
AK-013,"Aleutians East Borough",194804,30.3,19,32.3,-2.0
AK-013,"Aleutians East Borough",194805,38.5,35,39,-0.5
AK-013,"Aleutians East Borough",194806,47.2,70,45.5,1.7
AK-013,"Aleutians East Borough",194807,49.0,15,50.2,-1.2
AK-013,"Aleutians East Borough",194808,50.2,17,51.4,-1.2
AK-013,"Aleutians East Borough",194809,44.4,2,46.9,-2.5
AK-013,"Aleutians East Borough",194810,37.7,30,38.3,-0.6
AK-013,"Aleutians East Borough",194811,23.0,2,31.7,-8.7
AK-013,"Aleutians East Borough",194812,24.0,18,26.6,-2.6
AK-013,"Aleutians East Borough",194901,23.2,33,25.2,-2.0
AK-013,"Aleutians East Borough",194902,20.5,14,25.3,-4.8
AK-013,"Aleutians East Borough",194903,31.7,76,27.3,4.4
AK-013,"Aleutians East Borough",194904,27.0,3,32.3,-5.3
AK-013,"Aleutians East Borough",194905,37.2,13,39,-1.8
AK-013,"Aleutians East Borough",194906,43.4,10,45.5,-2.1
AK-013,"Aleutians East Borough",194907,49.8,32,50.2,-0.4
AK-013,"Aleutians East Borough",194908,50.0,13,51.4,-1.4
AK-013,"Aleutians East Borough",194909,48.6,75,46.9,1.7
AK-013,"Aleutians East Borough",194910,40.1,69,38.3,1.8
AK-013,"Aleutians East Borough",194911,34.4,73,31.7,2.7
AK-013,"Aleutians East Borough",194912,24.8,23,26.6,-1.8
AK-013,"Aleutians East Borough",195001,28.5,67,25.2,3.3
AK-013,"Aleutians East Borough",195002,13.4,1,25.3,-11.9
AK-013,"Aleutians East Borough",195003,32.0,79,27.3,4.7
AK-013,"Aleutians East Borough",195004,31.8,37,32.3,-0.5
AK-013,"Aleutians East Borough",195005,37.5,20,39,-1.5
AK-013,"Aleutians East Borough",195006,43.6,11,45.5,-1.9
AK-013,"Aleutians East Borough",195007,50.0,42,50.2,-0.2
AK-013,"Aleutians East Borough",195008,52.7,69,51.4,1.3
AK-013,"Aleutians East Borough",195009,46.4,33,46.9,-0.5
AK-013,"Aleutians East Borough",195010,38.7,54,38.3,0.4
AK-013,"Aleutians East Borough",195011,29.2,20,31.7,-2.5
AK-013,"Aleutians East Borough",195012,25.1,26,26.6,-1.5
AK-013,"Aleutians East Borough",195101,22.3,25,25.2,-2.9
AK-013,"Aleutians East Borough",195102,30.8,79,25.3,5.5
AK-013,"Aleutians East Borough",195103,25.1,30,27.3,-2.2
AK-013,"Aleutians East Borough",195104,34.4,69,32.3,2.1
AK-013,"Aleutians East Borough",195105,40.8,74,39,1.8
AK-013,"Aleutians East Borough",195106,46.3,59,45.5,0.8
AK-013,"Aleutians East Borough",195107,50.1,44,50.2,-0.1
AK-013,"Aleutians East Borough",195108,51.0,35,51.4,-0.4
AK-013,"Aleutians East Borough",195109,45.8,24,46.9,-1.1
AK-013,"Aleutians East Borough",195110,38.9,56,38.3,0.6
AK-013,"Aleutians East Borough",195111,32.3,46,31.7,0.6
AK-013,"Aleutians East Borough",195112,28.8,63,26.6,2.2
AK-013,"Aleutians East Borough",195201,28.3,65,25.2,3.1
AK-013,"Aleutians East Borough",195202,24.8,36,25.3,-0.5
AK-013,"Aleutians East Borough",195203,27.2,45,27.3,-0.1
AK-013,"Aleutians East Borough",195204,28.2,8,32.3,-4.1
AK-013,"Aleutians East Borough",195205,37.2,13,39,-1.8
AK-013,"Aleutians East Borough",195206,43.8,12,45.5,-1.7
AK-013,"Aleutians East Borough",195207,47.8,4,50.2,-2.4
AK-013,"Aleutians East Borough",195208,49.8,11,51.4,-1.6
AK-013,"Aleutians East Borough",195209,45.0,11,46.9,-1.9
AK-013,"Aleutians East Borough",195210,39.3,61,38.3,1.0
AK-013,"Aleutians East Borough",195211,34.3,70,31.7,2.6
AK-013,"Aleutians East Borough",195212,21.7,5,26.6,-4.9
AK-013,"Aleutians East Borough",195301,22.6,29,25.2,-2.6
AK-013,"Aleutians East Borough",195302,23.0,25,25.3,-2.3
AK-013,"Aleutians East Borough",195303,23.7,15,27.3,-3.6
AK-013,"Aleutians East Borough",195304,33.7,60,32.3,1.4
AK-013,"Aleutians East Borough",195305,39.1,44,39,0.1
AK-013,"Aleutians East Borough",195306,47.0,68,45.5,1.5
AK-013,"Aleutians East Borough",195307,52.6,89,50.2,2.4
AK-013,"Aleutians East Borough",195308,52.9,72,51.4,1.5
AK-013,"Aleutians East Borough",195309,45.7,23,46.9,-1.2
AK-013,"Aleutians East Borough",195310,35.1,5,38.3,-3.2
AK-013,"Aleutians East Borough",195311,31.8,41,31.7,0.1
AK-013,"Aleutians East Borough",195312,28.8,63,26.6,2.2
AK-013,"Aleutians East Borough",195401,19.8,16,25.2,-5.4
AK-013,"Aleutians East Borough",195402,16.6,5,25.3,-8.7
AK-013,"Aleutians East Borough",195403,28.9,54,27.3,1.6
AK-013,"Aleutians East Borough",195404,31.4,31,32.3,-0.9
AK-013,"Aleutians East Borough",195405,39.1,44,39,0.1
AK-013,"Aleutians East Borough",195406,44.9,29,45.5,-0.6
AK-013,"Aleutians East Borough",195407,49.0,15,50.2,-1.2
AK-013,"Aleutians East Borough",195408,51.1,39,51.4,-0.3
AK-013,"Aleutians East Borough",195409,48.3,70,46.9,1.4
AK-013,"Aleutians East Borough",195410,39.6,63,38.3,1.3
AK-013,"Aleutians East Borough",195411,33.8,65,31.7,2.1
AK-013,"Aleutians East Borough",195412,20.9,3,26.6,-5.7
AK-013,"Aleutians East Borough",195501,27.2,60,25.2,2.0
AK-013,"Aleutians East Borough",195502,27.0,51,25.3,1.7
AK-013,"Aleutians East Borough",195503,29.2,59,27.3,1.9
AK-013,"Aleutians East Borough",195504,29.8,13,32.3,-2.5
AK-013,"Aleutians East Borough",195505,37.2,13,39,-1.8
AK-013,"Aleutians East Borough",195506,42.0,3,45.5,-3.5
AK-013,"Aleutians East Borough",195507,48.9,13,50.2,-1.3
AK-013,"Aleutians East Borough",195508,49.0,4,51.4,-2.4
AK-013,"Aleutians East Borough",195509,45.1,12,46.9,-1.8
AK-013,"Aleutians East Borough",195510,33.4,2,38.3,-4.9
AK-013,"Aleutians East Borough",195511,31.3,37,31.7,-0.4
AK-013,"Aleutians East Borough",195512,25.1,26,26.6,-1.5
AK-013,"Aleutians East Borough",195601,14.5,3,25.2,-10.7
AK-013,"Aleutians East Borough",195602,21.2,17,25.3,-4.1
AK-013,"Aleutians East Borough",195603,20.9,10,27.3,-6.4
AK-013,"Aleutians East Borough",195604,28.7,10,32.3,-3.6
AK-013,"Aleutians East Borough",195605,37.5,20,39,-1.5
AK-013,"Aleutians East Borough",195606,42.8,6,45.5,-2.7
AK-013,"Aleutians East Borough",195607,49.3,20,50.2,-0.9
AK-013,"Aleutians East Borough",195608,50.6,26,51.4,-0.8
AK-013,"Aleutians East Borough",195609,46.1,30,46.9,-0.8
AK-013,"Aleutians East Borough",195610,36.4,12,38.3,-1.9
AK-013,"Aleutians East Borough",195611,25.2,5,31.7,-6.5
AK-013,"Aleutians East Borough",195612,21.8,6,26.6,-4.8
AK-013,"Aleutians East Borough",195701,30.9,80,25.2,5.7
AK-013,"Aleutians East Borough",195702,24.6,34,25.3,-0.7
AK-013,"Aleutians East Borough",195703,29.0,55,27.3,1.7
AK-013,"Aleutians East Borough",195704,34.9,72,32.3,2.6
AK-013,"Aleutians East Borough",195705,40.1,66,39,1.1
AK-013,"Aleutians East Borough",195706,49.2,91,45.5,3.7
AK-013,"Aleutians East Borough",195707,50.4,50,50.2,0.2
AK-013,"Aleutians East Borough",195708,52.6,67,51.4,1.2
AK-013,"Aleutians East Borough",195709,48.3,70,46.9,1.4
AK-013,"Aleutians East Borough",195710,42.1,88,38.3,3.8
AK-013,"Aleutians East Borough",195711,36.0,88,31.7,4.3
