,Distance (miles),Temp Change
count,365.0,365.0
mean,17.80575342465754,-0.6976438356164398
std,9.044554235154983,0.8423902636634151
min,0.0,-4.180000000000007
25%,8.83,-1.2000000000000028
50%,19.57,-0.6000000000000085
75%,25.05,-0.07000000000000739
max,33.74,1.1199999999999903
